louvain_cluster,count,top_gt_class,n_gt_classes
372,7,soap_dispenser,5
422,7,Old_English_sheepdog,3
680,7,medicine_chest,1
324,7,black-and-tan_coonhound,5
33,6,scale,5
790,6,shopping_basket,4
369,6,Bedlington_terrier,3
699,6,vase,5
689,6,safety_pin,2
595,6,analog_clock,5
181,6,king_crab,4
567,6,park_bench,3
570,6,plate_rack,4
743,6,miniature_pinscher,5
748,6,hammerhead,6
52,6,Great_Dane,1
44,6,car_wheel,6
798,6,letter_opener,3
746,6,pier,2
131,6,thunder_snake,4
510,6,cockroach,1
556,6,black_stork,3
569,6,Angora,4
530,6,earthstar,3
611,6,baseball,1
614,6,combination_lock,3
601,6,cash_machine,5
698,6,quilt,2
711,6,orange,3
728,6,silky_terrier,3
337,6,rule,2
804,6,caldron,3
639,6,whistle,3
116,6,barn,3
411,6,potpie,3
256,6,kelpie,3
669,6,reel,2
124,6,African_crocodile,6
634,6,analog_clock,6
393,6,hook,2
390,6,toy_poodle,4
89,6,ladle,2
707,6,matchstick,4
427,6,black-and-tan_coonhound,4
423,6,lampshade,2
205,6,bee_eater,3
108,6,crate,2
640,6,bolete,4
359,6,rubber_eraser,3
410,6,park_bench,3
190,5,swab,3
551,5,ashcan,5
741,5,swimming_trunks,1
787,5,gown,1
789,5,hognose_snake,4
771,5,maillot,4
23,5,strainer,3
584,5,bee_eater,4
756,5,altar,3
178,5,tape_player,2
162,5,espresso_maker,4
508,5,diamondback,5
609,5,radiator,1
545,5,fireboat,4
656,5,strainer,3
180,5,trilobite,5
660,5,punching_bag,1
459,5,barrel,2
451,5,bluetick,3
194,5,black_grouse,2
432,5,custard_apple,2
441,5,soap_dispenser,2
437,5,lighter,2
200,5,patio,2
465,5,bloodhound,3
283,5,vault,2
690,5,analog_clock,5
280,5,spindle,2
232,5,gyromitra,4
378,5,handkerchief,3
96,5,slug,4
91,5,ground_beetle,3
684,5,bow_tie,5
264,5,magnetic_compass,1
801,5,earthstar,2
310,5,dingo,4
261,5,manhole_cover,4
737,5,bath_towel,2
723,5,scabbard,2
12,5,chest,3
1,5,maillot,1
